architecture,K_D,directional_persistence_time
mixed,50.885150253376025,48.541267639810165
mixed,51.773685771927504,49.58094115274235
mixed,52.67773653144411,50.65493149763825
mixed,53.597573452668094,51.76409935852931
mixed,54.533472187048034,52.909322547620114
mixed,55.48571319934451,54.0914956630144
mixed,56.45458185167806,55.31152969342545
mixed,57.440368489045014,56.57035156664963
mixed,58.44336852632634,57.86890363850676
mixed,59.46388253681586,59.20814311888773
mixed,60.50221634229438,60.5890414314951
mixed,61.558681104676566,62.01258350381968
mixed,62.6335934192582,63.47976698386836
mixed,63.72727540959154,64.99160138014368
mixed,64.84005482401761,66.54910712138
mixed,65.97226513388385,68.15331453256319
mixed,67.1242456334769,69.80526272380413
mixed,68.29634154170037,71.50599838870279
mixed,69.48890410552808,73.25657450893164
mixed,70.70229070526372,75.05804896188512
mixed,71.93686496163848,76.91148302839181
mixed,73.19299684477892,78.8179397976652
mixed,74.47106278507745,80.77848246688383
mixed,75.7714457859988,82.79417253304207
mixed,77.09453553885633,84.86606787500322
mixed,78.44072853959251,86.99522072401383
mixed,79.81042820759852,89.18267552131304
mixed,81.20404500660855,91.4294666618858
mixed,82.62199656770545,93.73661612387146
mixed,84.06470781447385,96.10513098364888
mixed,85.53261109033883,98.5360008171774
mixed,87.02614628812817,101.03019498878074
mixed,88.54576098189689,103.58865982921562
mixed,90.0919105610537,106.2123157055757
mixed,91.66505836682929,108.90205398633276
mixed,93.26567583112808,111.65873390562324
mixed,94.89424261780408,114.4831793317327
mixed,96.55124676640374,117.37617544562607
mixed,98.23718483841893,120.33846533630044
mixed,99.95256206609352,123.3707465207086
mixed,101.69789250382873,126.47366739700124
mixed,103.47369918223166,129.64782364086042
mixed,105.2805142648544,132.8937545557471
mixed,107.11887920766968,136.21193938894262
mixed,108.98934492133094,139.6027936263268
mixed,110.89247193626662,143.0666652798999
mixed,112.8288305706564,146.60383118309184
mixed,114.79900110134092,150.21449330992957
mixed,116.80357393771584,153.89877513511095
mixed,118.8431497986622,157.65671805296958
mixed,120.91833989256664,161.48827787418494
mixed,123.02976610048472,165.39332141988965
mixed,125.17806116250252,169.37162323353127
mixed,127.3638688673528,173.42286243145247
mixed,129.58784424534176,177.54661971363726
mixed,131.85065376464476,181.74237455643024
mixed,134.1529755310298,186.0095026092444
mixed,136.49549949106836,190.34727331733097
mixed,138.8789276388941,194.7548477925636
mixed,141.30397422657344,199.23127695390437
mixed,143.77136597814763,203.77549995871703
mixed,146.2818423074137,208.3863429454275
mixed,148.83615553950762,213.06251810712544
mixed,151.43507113635664,217.80262311461743
mixed,154.0793679260688,222.60514090612455
mixed,156.76983833632747,227.4684398593013
mixed,159.50728863186157,232.39077435953095
mixed,162.29253915606236,237.37028577651895
mixed,165.12642457681932,242.40500385909493
mixed,168.00979413664845,247.49284855582707
mixed,170.94351190718862,252.631632266598
mixed,173.92845704814155,257.81906252767084
mixed,176.9655240707328,263.0527451300392
mixed,180.0556231057748,268.33018766801916
mixed,183.1996801764088,273.64880351210627
mixed,186.39863747561049,279.00591619716516
mixed,189.65345364854085,284.3987642140204
mixed,192.96510407982765,289.8245061895399
mixed,196.3345811858628,295.2802264373626
mixed,199.76289471220431,300.7629408585631
mixed,203.25107203617085,306.2696031687887
mixed,206.8001584747202,311.7971114257944
mixed,210.41121759770417,317.3423148288574
mixed,214.08533154659287,322.9020207593128
mixed,217.8236013587646,328.4730020294435
mixed,221.6271472974588,334.0520043052
mixed,225.49710918748912,339.63575366674746
mixed,229.43464675682105,345.2209642696573
mixed,233.4409399841113,350.80434606868766
mixed,237.51718945231772,356.3826125655482
mixed,241.6646167084828,361.95248854183774
mixed,245.8844646297999,367.51071773844274
mixed,250.17799779607168,373.0540704431514
mixed,254.54650286867204,378.5793509489974
mixed,258.9912889761254,384.0834048469481
mixed,263.51368810641884,389.5631261179398
mixed,268.1150555061646,395.01546399094065
mixed,272.79677008673275,400.4374295356617
mixed,277.5602348374751,405.82610196071386
mixed,282.4068772461656,411.1786345904006
mixed,287.3381497267805,416.4922604959051
mixed,292.35553005475094,421.7642977593541
